name,year,selling_price,km_driven,transmission,mileage,engine,max_power,seats,fuel_cng,fuel_diesel,fuel_lpg,fuel_petrol,seller_type_dealer,seller_type_individual,seller_type_trustmark_dealer,owner_first_owner,owner_fourth_&_above_owner,owner_second_owner,owner_test_drive_car,owner_third_owner
renault_kwid_rxt_optional,2016,356000,9656,1,25.17,799,53.3,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_swift_dzire_vxi,2017,550000,50000,1,20.85,1197,83.14,5.0,0,0,0,1,0,1,0,1,0,0,0,0
ford_figo_1.2p_titanium_mt,2016,388000,50000,1,18.16,1196,86.8,5.0,0,0,0,1,0,1,0,0,0,1,0,0
maruti_swift_vxi_optional,2016,470000,23700,1,20.4,1197,81.8,5.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_swift_zdi,2013,409999,90000,1,22.9,1248,74.0,5.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_ciaz_zdi,2015,700000,60000,1,26.21,1248,88.5,5.0,0,1,0,0,0,1,0,1,0,0,0,0
chevrolet_optra_magnum_2.0_ls,2011,290000,82500,1,16.52,1991,123.7,5.0,0,1,0,0,0,1,0,0,0,1,0,0
maruti_alto_k10_vxi,2018,350000,40000,1,23.95,998,67.05,5.0,0,0,0,1,0,1,0,1,0,0,0,0
mahindra_kuv_100_mfalcon_g80_k8,2016,426000,110000,1,18.15,1198,82.0,6.0,0,0,0,1,0,1,0,1,0,0,0,0
maruti_wagon_r_vxi,2005,98000,70000,1,18.9,998,67.1,5.0,0,0,0,1,0,1,0,0,0,1,0,0
maruti_swift_dzire_vxi,2015,550000,50000,1,20.85,1197,83.14,5.0,0,0,0,1,0,1,0,1,0,0,0,0
tata_indica_gls_bs_iv,2009,110000,113000,1,15.3,1193,65.3,5.0,0,0,0,1,0,1,0,1,0,0,0,0
hyundai_i10_magna_1.1l,2008,185000,110000,1,19.81,1086,68.05,5.0,0,0,0,1,0,1,0,0,1,0,0,0
fiat_linea_emotion_(diesel),2010,190000,178000,1,20.4,1248,91.7,5.0,0,1,0,0,0,1,0,0,0,1,0,0
tata_safari_storme_ex,2017,1100000,20000,1,14.1,2179,147.94,7.0,0,1,0,0,0,1,0,1,0,0,0,0
maruti_wagon_r_lxi_bs_iv,2013,240000,108916,1,20.51,998,67.04,5.0,0,0,0,1,0,1,0,0,0,1,0,0
honda_city_i_dtec_sv,2017,650000,47000,1,26.0,1498,98.6,5.0,0,1,0,0,0,1,0,0,0,1,0,0
